Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Dead or Alive 2,91,NetEnt,MT,2021-02-12,1,deadoralive2,netent
Inferno Star,92,Play'n Go,MT,2021-02-12,1,infernostar,playngo
Temple Tumble,93,Relax Gaming,MT,2021-02-12,1,templetumble,relaxgaming
Book of Oz,94,Triple Edge Studios,MT,2021-02-12,1,bookofoz,tripleedgestudios
Strolling Staxx Cubic Fruits,95,NetEnt,MT,2021-02-12,1,strollingstaxxcubicfruits,netent
Ancient Egypt Classic,96,Pragmatic Play,MT,2021-02-12,1,ancientegyptclassic,pragmaticplay
Rise Of Olympus,97,Play'n Go,MT,2021-02-12,1,riseofolympus,playngo
Berryburst,98,NetEnt,MT,2021-02-12,1,berryburst,netent
Madame Destiny,99,Pragmatic Play,MT,2021-02-12,1,madamedestiny,pragmaticplay
9 Lions,100,Wazdan,MT,2021-02-12,1,9lions,wazdan
