Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Beat the Beast Griffin's Gold,70,Thunderkick,TN,2021-02-12,1,beatthebeastgriffinsgold,thunderkick
Miner Donkey Trouble,71,Play'n Go,TN,2021-02-12,1,minerdonkeytrouble,playngo
Bull in a China Shop,72,Play'n Go,TN,2021-02-12,1,bullinachinashop,playngo
Story of Hercules 15 lines,73,Spinomenal,TN,2021-02-12,1,storyofhercules15lines,spinomenal
Coils of Cash,74,Play'n Go,TN,2021-02-12,1,coilsofcash,playngo
10001 Nights,75,Red Tiger,TN,2021-02-12,1,10001nights,redtiger
Leprechaun's Magic Megaways,76,Max Win Gaming,TN,2021-02-12,1,leprechaunsmagicmegaways,maxwingaming
Fruit Macau,77,Mascot Gaming,TN,2021-02-12,1,fruitmacau,mascotgaming
Fruit Monaco,78,Mascot Gaming,TN,2021-02-12,1,fruitmonaco,mascotgaming
Augustus,79,Neon Valley Studios,TN,2021-02-12,1,augustus,neonvalleystudios
Reel Gems Deluxe,80,Alchemy Gaming,TN,2021-02-12,1,reelgemsdeluxe,alchemygaming
Unicorn Forest,81,Leap Gaming,TN,2021-02-12,1,unicornforest,leapgaming
Path Of Destiny,82,Red Tiger,TN,2021-02-12,1,pathofdestiny,redtiger
Crystal Prince,83,Quickspin,TN,2021-02-12,1,crystalprince,quickspin
Book of Kingdoms,84,Reel Kingdom,TN,2021-02-12,1,bookofkingdoms,reelkingdom
Regal Beasts,85,Red Tiger,TN,2021-02-12,1,regalbeasts,redtiger
Silverback: Multiplier Mountain,86,JustForTheWin,TN,2021-02-12,1,silverbackmultipliermountain,justforthewin
Neptune’s Riches: Ocean Of Wilds,87,JustForTheWin,TN,2021-02-12,1,neptunesrichesoceanofwilds,justforthewin
Katmandu Gold,88,ELK Studios,TN,2021-02-12,1,katmandugold,elkstudios
Night of the Living Tales,89,Evoplay Entertainment,TN,2021-02-12,1,nightofthelivingtales,evoplayentertainment
Buffalo 50,90,Endorphina,TN,2021-02-12,1,buffalo50,endorphina
Return of the Dead,91,Reel Kingdom,TN,2021-02-12,1,returnofthedead,reelkingdom
Chaos Crew,92,Hacksaw Gaming,TN,2021-02-12,1,chaoscrew,hacksawgaming
Rosh Immortality Cube,93,GameArt,TN,2021-02-12,1,roshimmortalitycube,gameart
Casino Spin,94,Max Win Gaming,TN,2021-02-12,1,casinospin,maxwingaming
Gems Bonanza,95,Pragmatic Play,TN,2021-02-12,1,gemsbonanza,pragmaticplay
Spinning Beers,96,Spinomenal,TN,2021-02-12,1,spinningbeers,spinomenal
Emerald King,97,Reel Kingdom,TN,2021-02-12,1,emeraldking,reelkingdom
Piggy Bank Farm,98,Play'n Go,TN,2021-02-12,1,piggybankfarm,playngo
Golden Osiris,99,Play'n Go,TN,2021-02-12,1,goldenosiris,playngo
Frozen Gems,100,Play'n Go,TN,2021-02-12,1,frozengems,playngo
