Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Boobies And Booties,76,Espresso Games,CO,2021-02-12,1,boobiesandbooties,espressogames
Egyptian Dreams,77,Habanero,CO,2021-02-12,1,egyptiandreams,habanero
Chakra,78,Espresso Games,CO,2021-02-12,1,chakra,espressogames
Rolling Roger,79,Habanero,CO,2021-02-12,1,rollingroger,habanero
Panda Panda,80,Habanero,CO,2021-02-12,1,pandapanda,habanero
5 Neon Hot,81,iSoftBet,CO,2021-02-12,1,5neonhot,isoftbet
Caribbean Hold'em,82,Habanero,CO,2021-02-12,1,caribbeanholdem,habanero
Blackbeard the Golden Age,83,GAMING1,CO,2021-02-12,1,blackbeardthegoldenage,gaming1
Amun-Ra,84,Espresso Games,CO,2021-02-12,1,amunra,espressogames
Mariachis Bingo,85,MGA,CO,2021-02-12,1,mariachisbingo,mga
Buffalo (Aristocrat),86,Aristocrat,CO,2021-02-12,1,buffalo,aristocrat
Circus Bingo,87,MGA,CO,2021-02-12,1,circusbingo,mga
Slot Of Madness,88,GAMING1,CO,2021-02-12,1,slotofmadness,gaming1
Safari Sam,89,Betsoft,CO,2021-02-12,1,safarisam,betsoft
2050 Escape From Mars,90,Espresso Games,CO,2021-02-12,1,2050escapefrommars,espressogames
Fa Fa Twins (Betsoft),91,Betsoft,CO,2021-02-12,1,fafatwins,betsoft
Caveman,92,Espresso Games,CO,2021-02-12,1,caveman,espressogames
Texas Hold'em Poker (Espresso Games),93,Espresso Games,CO,2021-02-12,1,texasholdempoker,espressogames
Color Champion,94,Espresso Games,CO,2021-02-12,1,colorchampion,espressogames
Nebula,95,Espresso Games,CO,2021-02-12,1,nebula,espressogames
The Creeps,96,Espresso Games,CO,2021-02-12,1,thecreeps,espressogames
Mu vs. Atlantis,97,Espresso Games,CO,2021-02-12,1,muvsatlantis,espressogames
Sin City Nights,98,Betsoft,CO,2021-02-12,1,sincitynights,betsoft
Hey Sweetie,99,GAMING1,CO,2021-02-12,1,heysweetie,gaming1
SugarPop,100,Betsoft,CO,2021-02-12,1,sugarpop,betsoft
