Name,Rank,Provider,Casinos,Market,Date,NameInternal,ProviderInternal
Respin Mania,72,Skywind Group,4,GR,2021-02-25,respinmania,skywindgroup
John Hunter Tomb of the Scarab Queen,73,Pragmatic Play,10,GR,2021-02-25,johnhuntertombofthescarabqueen,pragmaticplay
Respin Circus,74,ELK Studios,4,GR,2021-02-25,respincircus,elkstudios
Lucky Lady's Charm deluxe,75,Greentube,4,GR,2021-02-25,luckyladyscharmdeluxe,greentube
Ultra Seven,76,Amatic Industries,4,GR,2021-02-25,ultraseven,amaticindustries
Immortal Romance,77,Microgaming,7,GR,2021-02-25,immortalromance,microgaming
All Ways Fruits,78,Amatic Industries,7,GR,2021-02-25,allwaysfruits,amaticindustries
The Wild Hatter,79,Red Tiger,7,GR,2021-02-25,thewildhatter,redtiger
Wolf Legend Megaways,80,Blueprint,7,GR,2021-02-25,wolflegendmegaways,blueprint
Voodoo Gold,81,ELK Studios,4,GR,2021-02-25,voodoogold,elkstudios
300 Shields,82,NextGen,4,GR,2021-02-25,300shields,nextgen
Napoleon: Rise Of an Empire,83,Blueprint,5,GR,2021-02-25,napoleonriseofanempire,blueprint
Assassin Moon,84,Triple Edge Studios,4,GR,2021-02-25,assassinmoon,tripleedgestudios
Wild Toro,85,ELK Studios,4,GR,2021-02-25,wildtoro,elkstudios
Fruitinator,86,Merkur,4,GR,2021-02-25,fruitinator,merkur
Crazy Time,87,Evolution Gaming,7,GR,2021-02-25,crazytime,evolutiongaming
Age of the Gods: Ruler of the Seas,88,Playtech Origins,7,GR,2021-02-25,ageofthegodsruleroftheseas,playtechorigins
Safari Gold Megaways,89,Blueprint,5,GR,2021-02-25,safarigoldmegaways,blueprint
Lil Devil,90,Big Time Gaming,5,GR,2021-02-25,lildevil,bigtimegaming
Wolf Gold,91,Pragmatic Play,9,GR,2021-02-25,wolfgold,pragmaticplay
Rainbow Jackpots,92,Red Tiger,9,GR,2021-02-25,rainbowjackpots,redtiger
Gold Star Fruits,93,Eurocoin Interactive,9,GR,2021-02-25,goldstarfruits,eurocoininteractive
Adventures Of Doubloon Island,94,Triple Edge Studios,9,GR,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Viking Pays,95,Inspired Gaming,9,GR,2021-02-25,vikingpays,inspiredgaming
Totally Wild,96,Greentube,9,GR,2021-02-25,totallywild,greentube
5 Lions Gold,97,Pragmatic Play,7,GR,2021-02-25,5lionsgold,pragmaticplay
Skulls Heap,98,GONG Gaming Technologies,7,GR,2021-02-25,skullsheap,gonggamingtechnologies
Medusa Megaways,99,NextGen,4,GR,2021-02-25,medusamegaways,nextgen
Joker King,100,Pragmatic Play,6,GR,2021-02-25,jokerking,pragmaticplay
