Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Asian Fortunes,73,Novomatic,CH,2021-02-25,1,asianfortunes,novomatic
Wild Country,74,Greentube,CH,2021-02-25,1,wildcountry,greentube
Almighty Reels - Garden of Persephone,75,Greentube,CH,2021-02-25,1,almightyreelsgardenofpersephone,greentube
Stein Haus,76,Greentube,CH,2021-02-25,1,steinhaus,greentube
Little Dragons,77,Novomatic,CH,2021-02-25,1,littledragons,novomatic
Almighty Reels Power of Zeus,78,Novomatic,CH,2021-02-25,1,almightyreelspowerofzeus,novomatic
Tales of Darkness Lunar Eclipse,79,Greentube,CH,2021-02-25,1,talesofdarknesslunareclipse,greentube
Tales of Darkness Break of Dawn,80,Greentube,CH,2021-02-25,1,talesofdarknessbreakofdawn,greentube
Tales of Darkness: Full Moon,81,Greentube,CH,2021-02-25,1,talesofdarknessfullmoon,greentube
Eye of the Dragon,82,Novomatic,CH,2021-02-25,1,eyeofthedragon,novomatic
Jaguar Moon,83,Novomatic,CH,2021-02-25,1,jaguarmoon,novomatic
Almighty Reels - Realm of Poseidon,84,Greentube,CH,2021-02-25,1,almightyreelsrealmofposeidon,greentube
Book of Ra Magic,85,Greentube,CH,2021-02-25,1,bookoframagic,greentube
Spirits of the Valkyrie,86,Greentube,CH,2021-02-25,1,spiritsofthevalkyrie,greentube
Vampire Fortunes,87,Greentube,CH,2021-02-25,1,vampirefortunes,greentube
Pyramid Fortunes,88,Greentube,CH,2021-02-25,1,pyramidfortunes,greentube
Book of Ra Mystic Fortunes,89,Greentube,CH,2021-02-25,1,bookoframysticfortunes,greentube
Goddess Rising,90,Greentube,CH,2021-02-25,1,goddessrising,greentube
Riches of Babylon,91,Greentube,CH,2021-02-25,1,richesofbabylon,greentube
Amazing Sevens,92,Greentube,CH,2021-02-25,1,amazingsevens,greentube
Queen Cleopatra,93,Greentube,CH,2021-02-25,1,queencleopatra,greentube
Winter Queen,94,Greentube,CH,2021-02-25,1,winterqueen,greentube
Sizzling Hot 6 extra gold,95,Greentube,CH,2021-02-25,1,sizzlinghot6extragold,greentube
Rumble Rumble,96,Ainsworth,CH,2021-02-25,1,rumblerumble,ainsworth
Eagle Bucks,97,Ainsworth,CH,2021-02-25,1,eaglebucks,ainsworth
Book of Ra,98,Greentube,CH,2021-02-25,1,bookofra,greentube
African Simba,99,Greentube,CH,2021-02-25,1,africansimba,greentube
Captain Venture,100,Greentube,CH,2021-02-25,1,captainventure,greentube
